order_date_only,Market,Days for shipping (real),Late_delivery_risk,Order Item Product Price,Order Item Discount Rate,Order Item Profit Ratio,Order Profit Per Order,Order Item Quantity,Sales,Order Item Total,customer_segment_consumer_pct,customer_segment_corporate_pct,customer_segment_home_office_pct,category_diversity_index,price_volatility,order_count,day_of_week,day_of_month,month,is_weekend,days_since_start,Market_encoded
2017-05-22,Europe,3.727272727272727,0.6115702479338843,128.07000324504958,0.10454545525619835,0.14289256340495868,24.44173533543802,255,22606.92041074,167.20066245636363,0.49586776859504134,0.38016528925619836,0.12396694214876033,0.8875076839013729,0.1,182,0,22,5,0,0,0
2017-05-22,LATAM,3.3963414634146343,0.4695121951219512,136.3907351881707,0.11140243957317073,0.10469512307926829,18.309634063682925,351,32234.44059598,176.385367742561,0.5975609756097561,0.1951219512195122,0.2073170731707317,0.8940362879238548,0.1,164,0,22,5,0,0,1
2017-05-22,USCA,3.0327868852459017,0.4808743169398907,124.60552201289616,0.09830601138251367,0.1442622953715847,21.100054694885245,410,35530.63063844,174.6120236627869,0.5355191256830601,0.2896174863387978,0.17486338797814208,0.8929499238555944,0.1,183,0,22,5,0,0,2
2017-05-23,Europe,3.739130434782609,0.5434782608695652,131.51576405336957,0.09298913085326087,0.147608694875,24.57418510384239,412,37639.59066086,186.06538237538044,0.5489130434782609,0.32065217391304346,0.13043478260869565,0.8972707939508506,0.1,184,1,23,5,0,1,0
2017-05-23,LATAM,3.5617283950617282,0.5802469135802469,124.6248177925926,0.09320987698148148,0.13771605038888887,25.668456905648146,377,33127.36061323,185.3738906448148,0.6851851851851852,0.16049382716049382,0.15432098765432098,0.8907940862673374,0.1,162,1,23,5,0,1,1
2017-05-23,USCA,3.25,0.5514705882352942,128.75360628111028,0.10301470633088235,0.1005147054117647,23.330882355522057,321,27218.88051444,179.8447076589706,0.40441176470588236,0.4338235294117647,0.16176470588235295,0.9034385813148789,0.1,136,1,23,5,0,1,2
2017-05-24,Europe,3.3461538461538463,0.5659340659340659,134.73626698868682,0.10335164892307692,0.11340659256593406,14.083241852417581,398,36395.0206226,179.38033172302198,0.4835164835164835,0.36813186813186816,0.14835164835164835,0.9039367226180413,0.1,182,2,24,5,0,2,0
2017-05-24,LATAM,3.497076023391813,0.6140350877192983,117.8956755063158,0.10701754450877192,0.12368420998245613,21.51959059636842,425,34261.7805941,178.3424577996491,0.4502923976608187,0.4093567251461988,0.14035087719298245,0.8883417119797545,0.1,171,2,24,5,0,2,1
2017-05-24,USCA,3.294478527607362,0.49079754601226994,139.17779511006134,0.10895705571779142,0.08460122544785276,23.26950906030675,339,31731.13066711,174.89208826674846,0.50920245398773,0.34355828220858897,0.147239263803681,0.8964582784448041,0.1,163,2,24,5,0,2,2
2017-05-25,Europe,3.7625,0.56875,122.88156559800625,0.11250000045,0.0953750010125,18.16012496370625,397,33124.46068399,183.838752708375,0.6125,0.24375,0.14375,0.895546875,0.1,160,3,25,5,0,3,0
2017-05-25,LATAM,3.3043478260869565,0.5527950310559007,137.19329554807453,0.10285714359006212,0.06819875711801242,14.159254830739131,343,31889.47057408,177.5919895296273,0.577639751552795,0.3105590062111801,0.11180124223602485,0.9048262026927973,0.1,161,3,25,5,0,3,1
2017-05-25,USCA,3.1965317919075145,0.4682080924855491,136.21295125578612,0.09971098324855492,0.034219652462427745,5.042832506578034,390,34922.3606319,182.02566656872833,0.5028901734104047,0.3468208092485549,0.15028901734104047,0.9035383741521601,0.1,173,3,25,5,0,3,2
2017-05-26,Europe,3.6685714285714286,0.5771428571428572,119.26280291189143,0.09691428629142856,0.20485714381714287,42.46422848721714,404,34009.610618681,175.36737235212001,0.5942857142857143,0.21714285714285714,0.18857142857142858,0.8967836734693877,0.1,175,4,26,5,0,4,0
2017-05-26,LATAM,3.3473684210526318,0.43157894736842106,137.14600345594735,0.10347368453684211,0.12310526281578947,29.104894706442106,442,40896.36080773,192.36679170689473,0.6,0.2789473684210526,0.12105263157894737,0.8993351800554017,0.1,190,4,26,5,0,4,1
2017-05-26,USCA,3.161676646706587,0.5449101796407185,124.58766801718563,0.10131736593413174,0.14173652826347305,22.718263341706585,377,31569.050600489998,169.39575067473052,0.6287425149700598,0.2994011976047904,0.0718562874251497,0.8906737423356879,0.1,167,4,26,5,0,4,2
2017-05-27,Europe,3.4276315789473686,0.5789473684210527,122.5546082604671,0.10171052675,0.14572368409210526,26.968157956098683,330,28250.56054483,167.18973818375002,0.5,0.25,0.25,0.8947368421052632,0.1,152,5,27,5,1,5,0
2017-05-27,LATAM,3.761904761904762,0.4583333333333333,120.00077680506547,0.09869047683928571,0.11869047566666667,20.117975998577382,383,30743.06056432,165.11327530761906,0.4583333333333333,0.43452380952380953,0.10714285714285714,0.9002976190476191,0.1,168,5,27,5,1,5,1
2017-05-27,USCA,3.2865168539325844,0.5112359550561798,139.80837448411236,0.10713483207865168,0.1348314602977528,22.1553931802809,377,34754.92068926,174.86814825741573,0.5,0.3089887640449438,0.19101123595505617,0.8988132811513697,0.1,178,5,27,5,1,5,2
2017-05-28,Europe,3.4355828220858897,0.5276073619631901,142.8960770721595,0.0929447857607362,0.1069325151595092,13.976441687638037,346,33899.39065626,189.1817818761963,0.4785276073619632,0.36809815950920244,0.15337423312883436,0.9018781286461666,0.1,163,6,28,5,1,6,0
2017-05-28,LATAM,3.7470588235294118,0.5411764705882353,139.94723876894705,0.10188235337058824,0.1315294125117647,24.624941412641178,389,36422.04065955,193.4158258565294,0.5705882352941176,0.2235294117647059,0.20588235294117646,0.8941868512110727,0.1,170,6,28,5,1,6,1
2017-05-28,USCA,3.0245398773006134,0.5766871165644172,117.989757388773,0.10092024589570552,0.10705521473006134,22.018957278858895,357,30779.56056041,170.18429569656442,0.6687116564417178,0.1901840490797546,0.1411042944785276,0.8853927509503556,0.1,163,6,28,5,1,6,2
2017-05-29,Europe,4.099415204678363,0.631578947368421,130.12871692444443,0.10421052672514619,0.08900584746783625,17.15374263134503,362,32717.12069133,172.14093763643274,0.4502923976608187,0.38011695906432746,0.1695906432748538,0.8910091994117848,0.1,171,0,29,5,0,7,0
2017-05-29,LATAM,3.6303030303030304,0.4484848484848485,138.92848845230907,0.10321212173333334,0.07248485034545454,11.780242608254543,360,33342.54065732,181.00412326042425,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.8870523415977961,0.1,165,0,29,5,0,7,1
2017-05-29,USCA,3.764102564102564,0.6461538461538462,124.2295929871282,0.10241025674871795,0.1430769229179487,21.14625657553846,437,37724.50074597,173.57923174605128,0.4358974358974359,0.3435897435897436,0.2205128205128205,0.8879947403024326,0.1,195,0,29,5,0,7,2
2017-05-30,Europe,3.787128712871287,0.4752475247524752,133.9286172640099,0.10970297107425742,0.1249009919158416,21.698910736752474,446,41056.00076132,181.50366463920793,0.6188118811881188,0.2376237623762376,0.14356435643564355,0.8890795020096068,0.1,202,1,30,5,0,8,0
2017-05-30,LATAM,3.2093023255813953,0.45348837209302323,115.41889836395349,0.10075581446511629,0.1262209300116279,19.384825525715115,416,32779.59061089,171.76122284476745,0.4941860465116279,0.3372093023255814,0.1686046511627907,0.8936587344510546,0.1,172,1,30,5,0,8,1
2017-05-30,USCA,3.9301075268817205,0.45698924731182794,131.14414326225807,0.1029569898172043,0.11575268850537634,19.81935485115054,422,36846.42067553,178.63478696715052,0.4946236559139785,0.34408602150537637,0.16129032258064516,0.8831078737426292,0.1,186,1,30,5,0,8,2
2017-05-31,Europe,3.6904761904761907,0.6309523809523809,158.50542083720237,0.101547619625,0.11880952460714286,21.071130989059526,314,34560.5407438,184.17803791738095,0.5238095238095238,0.38095238095238093,0.09523809523809523,0.8977465986394557,0.1,168,2,31,5,0,9,0
2017-05-31,LATAM,3.4302325581395348,0.5988372093023255,140.5635501880814,0.09546511684302325,0.12744185986627907,25.47063967807558,376,34557.01066616,181.65540945959302,0.5232558139534884,0.27325581395348836,0.20348837209302326,0.9025824770146025,0.1,172,2,31,5,0,9,1
2017-05-31,USCA,3.6548223350253806,0.583756345177665,139.25172963055837,0.10314720847715736,0.15954314662436547,28.89984785845178,436,40193.12084604,183.33878371964468,0.5025380710659898,0.3553299492385787,0.14213197969543148,0.8893297946352651,0.1,197,2,31,5,0,9,2
2017-06-01,Europe,3.3636363636363638,0.6060606060606061,138.82521558054543,0.10515151553939393,0.10363636373939393,15.524303073872725,340,33341.64064466,180.52618403745456,0.47878787878787876,0.24848484848484848,0.2727272727272727,0.8925619834710744,0.1,165,3,1,6,0,10,0
2017-06-01,LATAM,3.3205128205128207,0.6025641025641025,127.3600674323782,0.10429487221794873,0.12294871800641026,22.25211551321154,346,30001.25062006,172.70551499397436,0.46794871794871795,0.34615384615384615,0.1858974358974359,0.8994904667981591,0.1,156,3,1,6,0,10,1
2017-06-01,USCA,3.6184971098265897,0.5028901734104047,133.0753213336416,0.10676300640462429,0.10364161976300577,20.103179427260113,412,36098.90076458,187.09451122104045,0.44508670520231214,0.32947976878612717,0.2254335260115607,0.8962544689097531,0.1,173,3,1,6,0,10,2
2017-06-02,Europe,2.5492957746478875,0.5,148.3892997599296,0.10197183166901408,0.2004929572394366,38.74676064539436,314,30810.63062701,194.7917630911972,0.49295774647887325,0.3591549295774648,0.14788732394366197,0.9010117040269788,0.1,142,4,2,6,0,11,0
2017-06-02,LATAM,3.447513812154696,0.6408839779005525,129.79541784226518,0.1017679563314917,0.059005525370165755,14.136685028060773,369,33803.3006595,167.16850949889502,0.39779005524861877,0.4088397790055249,0.19337016574585636,0.8958212508775679,0.1,181,4,2,6,0,11,1
2017-06-02,USCA,3.78125,0.5677083333333334,132.27448256192707,0.10072916713020834,0.047291666619791665,9.736458429562498,415,37610.63076435,175.26984639869792,0.4895833333333333,0.21354166666666666,0.296875,0.8994683159722222,0.1,192,4,2,6,0,11,2
2017-06-03,Europe,3.980132450331126,0.5298013245033113,137.72993736166225,0.11364238438410595,0.13847682198013245,19.627616174225167,320,29999.590637441,175.90947241536423,0.5562913907284768,0.2847682119205298,0.15894039735099338,0.8889083812113504,0.1,151,5,3,6,1,12,0
2017-06-03,LATAM,3.5555555555555554,0.6212121212121212,126.40252849666666,0.10520202055050505,0.14616161553030302,22.45010110622222,457,38229.09070392,173.08586072338383,0.7222222222222222,0.1919191919191919,0.08585858585858586,0.8965921844709723,0.1,198,5,3,6,1,12,1
2017-06-03,USCA,3.1637426900584797,0.4678362573099415,121.520821825731,0.09964912315789475,0.11280701878362573,16.64859623574269,367,31313.93054831,164.1090071380117,0.4853801169590643,0.3216374269005848,0.19298245614035087,0.8908040080708595,0.1,171,5,3,6,1,12,2
2017-06-04,Europe,3.5632183908045976,0.4885057471264368,143.44207247764368,0.09373563253448276,0.1393103447586207,20.033563623459766,344,35050.30070884,182.3422433908046,0.5747126436781609,0.25287356321839083,0.1724137931034483,0.8915973047958778,0.1,174,6,4,6,1,13,0
2017-06-04,LATAM,3.016042780748663,0.5935828877005348,131.5817682132139,0.09850267434759358,0.08021390380213904,12.200909152139038,425,36247.75071756,173.97353143877007,0.6417112299465241,0.27807486631016043,0.08021390374331551,0.8927335640138409,0.1,187,6,4,6,1,13,1
2017-06-04,USCA,3.7247191011235956,0.5449438202247191,130.52781236146066,0.10286516940449439,0.13904494438202247,24.68117958414045,371,33997.12067258,172.6876419808427,0.6179775280898876,0.19662921348314608,0.1853932584269663,0.899128897866431,0.1,178,6,4,6,1,13,2
2017-06-05,Europe,3.2944444444444443,0.5666666666666667,118.69494729883334,0.09066666728333332,0.17544444355555555,28.434944557744444,390,32270.36055959,163.5149460458889,0.37222222222222223,0.36666666666666664,0.2611111111111111,0.8918518518518519,0.1,180,0,5,6,0,14,0
2017-06-05,LATAM,3.2526315789473683,0.5684210526315789,119.17368727573684,0.09852631614736843,0.09000000132105264,9.20526352991579,400,32555.210669289998,154.16394927610526,0.5,0.3,0.2,0.8888642659279778,0.1,190,0,5,6,0,14,1
2017-06-05,USCA,3.532967032967033,0.7307692307692307,126.27423392631867,0.10000000030769231,0.10582417474175825,19.58313202656044,388,34174.8406149,167.89956163335162,0.521978021978022,0.3626373626373626,0.11538461538461539,0.9005554884675764,0.1,182,0,5,6,0,14,2
2017-06-06,Europe,3.4046242774566475,0.48554913294797686,119.22543649497109,0.11497109904624278,0.08826589740462429,25.00150298980925,395,32883.65060282,168.9753194502312,0.5086705202312138,0.35260115606936415,0.13872832369942195,0.8941160747101473,0.1,173,1,6,6,0,15,0
2017-06-06,LATAM,3.6486486486486487,0.5783783783783784,129.21551675897837,0.09427027065945946,0.08210810912432433,11.270054011210812,408,35756.750704289996,175.3157855682703,0.5675675675675675,0.2972972972972973,0.13513513513513514,0.9021475529583637,0.1,185,1,6,6,0,15,1
2017-06-06,USCA,3.652941176470588,0.45294117647058824,129.89506205752943,0.09811764759411765,0.13017646901764707,18.208705557611765,386,33830.48062934,179.48711988452942,0.38235294117647056,0.4647058823529412,0.15294117647058825,0.9033910034602076,0.1,170,1,6,6,0,15,2
2017-06-07,Europe,3.480874316939891,0.5901639344262295,132.1521892795082,0.09868852492896175,0.06792349598360656,12.054972996666667,404,35532.59072316,175.36229721311474,0.4207650273224044,0.33879781420765026,0.24043715846994534,0.9086565738003524,0.1,183,2,7,6,0,16,0
2017-06-07,LATAM,2.6608187134502925,0.43859649122807015,128.64339486391813,0.10614035152631579,0.16526315722807017,29.913040904549707,379,33807.90067876,175.84941700245614,0.3742690058479532,0.4327485380116959,0.19298245614035087,0.893061112821039,0.1,171,2,7,6,0,16,1
2017-06-07,USCA,3.631868131868132,0.43956043956043955,121.64264029516484,0.10791208835714286,0.13434065943406595,20.441978027483515,388,33344.290648,163.99923219813186,0.510989010989011,0.32967032967032966,0.15934065934065933,0.9039971017992996,0.1,182,2,7,6,0,16,2
